172.16.5.50,asd
172.16.5.217,ali
172.16.5.62,ys
172.16.5.217,ali

172.16.5.61, CANER
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.146:selman
aa,172.16.5.50
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER
172.16.5.61, CANER


172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN

172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.93,byzTS
172.16.5.187,OSMAN
172.16.5.187,OSMAN
172.16.5.187,OSMAN





172.16.5.235,anil
172.16.5.235,anil
172.16.5.235,anil
172.16.5.235,anil
172.16.5.235,anil
172.16.5.235,anil
172.16.5.235,anil
172.16.5.146,selman
172.16.5.93,byzTS
44545.454.45,asda
44545.454.45,asda
44545.454.45,asda
172.16.5.146,selman
172.16.5.146,selman

172.16.5.145,Baran
172.16.5.146,selman
172.16.5.146,selman
